Count,Name,Type,Cost,Rarity,Section
1,Abhorrent Overlord,Creature  - Demon,{5}{B}{B},Rare,main
1,Anger of the Gods,Sorcery,{1}{R}{R},Rare,main
1,Arch of Orazca,Land,,Rare,main
1,Ashcloud Phoenix,Creature  - Phoenix,{2}{R}{R},MythicRare,main
1,Balustrade Spy,Creature  - Vampire Rogue,{3}{B},Common,main
1,Banefire,Sorcery,{X}{R},Rare,main
1,Bearer of the Heavens,Creature  - Giant,{7}{R},Rare,main
1,Bident of Thassa,Legendary Enchantment Artifact,{2}{U}{U},Rare,main
1,Blistergrub,Creature  - Horror,{2}{B},Common,main
1,Bloodfell Caves,Land,,Common,main
1,Butcher of Malakir,Creature  - Vampire Warrior,{5}{B}{B},Rare,main
1,"Chandra, Flamecaller",Planeswalker  - Chandra,{4}{R}{R},MythicRare,main
1,Cinder Barrens,Land,,Common,main
1,Clever Impersonator,Creature  - Shapeshifter,{2}{U}{U},MythicRare,main
1,Command Tower,Land,,Common,main
1,Consuming Aberration,Creature  - Horror,{3}{U}{B},Rare,main
1,Crater's Claws,Sorcery,{X}{R},Rare,main
1,Crumbling Vestige,Land,,Common,main
1,Crypt of the Eternals,Land,,Uncommon,main
1,Dakmor Lancer,Creature  - Human Knight,{4}{B}{B},Uncommon,main
1,Dark Hatchling,Creature  - Horror,{4}{B}{B},Rare,main
1,Dark Ritual,Instant,{B},Common,main
1,Darksteel Ingot,Artifact,{3},Uncommon,main
1,Deathgaze Cockatrice,Creature  - Cockatrice,{2}{B}{B},Common,main
1,Delirium,Instant,{1}{B}{R},Uncommon,main
1,Diabolic Tutor,Sorcery,{2}{B}{B},Uncommon,main
1,Dictate of Erebos,Enchantment,{3}{B}{B},Rare,main
1,Dimir Guildgate,Land  - Gate,,Common,main
1,Disintegrate,Sorcery,{X}{R},Special,main
1,Dismal Backwater,Land,,Common,main
1,Dreamborn Muse,Creature  - Spirit,{2}{U}{U},Rare,main
1,Evolving Wilds,Land,,Common,main
1,Extractor Demon,Creature  - Demon,{4}{B}{B},Rare,main
1,Fireball,Sorcery,{X}{R},Uncommon,main
1,Fumarole,Sorcery,{3}{B}{R},Uncommon,main
1,Fury of the Horde,Sorcery,{5}{R}{R},Rare,main
1,Gray Merchant of Asphodel,Creature  - Zombie,{3}{B}{B},Common,main
1,Greed,Enchantment,{3}{B},Rare,main
1,Holdout Settlement,Land,,Common,main
1,Hour of Devastation,Sorcery,{3}{R}{R},Rare,main
1,Hypnotic Specter,Creature  - Specter,{1}{B}{B},Rare,main
4,Island,Basic Land  - Island,,BasicLand,main
1,Jwar Isle Refuge,Land,,Uncommon,main
