Count,Name,Type,Cost,Rarity,Section
1,Aether Adept,Creature  - Human Wizard,{1}{U}{U},Common,main
1,"Alhammarret, High Arbiter",Legendary Creature  - Sphinx,{5}{U}{U},Rare,main
1,Aquitect's Will,Tribal Sorcery  - Merfolk,{U},Common,main
1,Arcanis the Omnipotent,Legendary Creature  - Wizard,{3}{U}{U}{U},Rare,main
1,Archivist,Creature  - Human Wizard,{2}{U}{U},Rare,main
1,Aven Surveyor,Creature  - Bird Scout,{3}{U}{U},Common,main
1,Bident of Thassa,Legendary Enchantment Artifact,{2}{U}{U},Rare,main
1,Boomerang,Instant,{U}{U},Common,main
1,Calculated Dismissal,Instant,{2}{U},Common,main
1,Cancel,Instant,{1}{U}{U},Common,main
1,Chasm Skulker,Creature  - Squid Horror,{2}{U},Rare,main
1,Clone,Creature  - Shapeshifter,{3}{U},Rare,main
1,Colossal Whale,Creature  - Whale,{5}{U}{U},Rare,main
1,Confiscate,Enchantment  - Aura,{4}{U}{U},Uncommon,main
1,Counterspell,Instant,{U}{U},Common,main
1,Daring Apprentice,Creature  - Human Wizard,{1}{U}{U},Rare,main
1,Deepchannel Mentor,Creature  - Merfolk Rogue,{5}{U},Uncommon,main
1,Disperse,Instant,{1}{U},Common,main
1,Dissipate,Instant,{1}{U}{U},Uncommon,main
1,Dissolve,Instant,{1}{U}{U},Common,main
1,Evolving Wilds,Land,,Common,main
1,Fleeting Image,Creature  - Illusion,{2}{U},Rare,main
1,Giant Oyster,Creature  - Oyster,{2}{U}{U},Special,main
1,Gush,Instant,{4}{U},Common,main
1,Harbor Serpent,Creature  - Serpent,{4}{U}{U},Common,main
1,Hieroglyphic Illumination,Instant,{3}{U},Common,main
31,Island,Basic Land  - Island,,BasicLand,main
1,Jace's Mindseeker,Creature  - Fish Illusion,{4}{U}{U},Rare,main
1,Jace's Sanctum,Enchantment,{3}{U},Rare,main
1,Kukemssa Serpent,Creature  - Serpent,{3}{U},Common,main
1,Lonely Sandbar,Land,,Common,main
1,Magical Hack,Instant,{U},Rare,main
1,Mana Leak,Instant,{1}{U},Common,main
1,Master Thief,Creature  - Human Rogue,{2}{U}{U},Uncommon,main
1,Meletis Charlatan,Creature  - Human Wizard,{2}{U},Rare,main
1,Mental Discipline,Enchantment,{1}{U}{U},Common,main
1,Mercurial Pretender,Creature  - Shapeshifter,{4}{U},Rare,main
1,Merfolk Looter,Creature  - Merfolk Rogue,{1}{U},Uncommon,main
1,Nimbus Naiad,Enchantment Creature  - Nymph,{2}{U},Common,main
1,Polymorphist's Jest,Instant,{1}{U}{U},Rare,main
1,Primal Amulet,Artifact,{4},Rare,main
1,Prognostic Sphinx,Creature  - Sphinx,{3}{U}{U},Rare,main
1,Quicksand,Land,,Common,main
1,Quicksilver Fountain,Artifact,{3},Rare,main
1,Reckless Scholar,Creature  - Human Wizard,{2}{U},Uncommon,main
1,Regress,Instant,{2}{U},Common,main
1,Rescind,Instant,{1}{U}{U},Common,main
1,Revolutionary Rebuff,Instant,{1}{U},Common,main
1,Sea's Claim,Enchantment  - Aura,{U},Common,main
1,Sealock Monster,Creature  - Octopus,{3}{U}{U},Uncommon,main
1,Select for Inspection,Instant,{U},Common,main
1,Sift,Sorcery,{3}{U},Common,main
1,Sleight of Mind,Instant,{U},Rare,main
1,Snapback,Instant,{1}{U},Common,main
1,Sol Ring,Artifact,{1},Uncommon,main
1,Spell Crumple,Instant,{1}{U}{U},Uncommon,main
1,Stoic Rebuttal,Instant,{1}{U}{U},Common,main
1,Stormtide Leviathan,Creature  - Leviathan,{5}{U}{U}{U},Rare,main
1,Sunken City,Enchantment,{U}{U},Common,main
1,Svyelunite Temple,Land,,Uncommon,main
1,Temple of the False God,Land,,Uncommon,main
1,Terramorphic Expanse,Land,,Common,main
1,Thassa's Bounty,Sorcery,{5}{U},Common,main
1,Thassa's Emissary,Enchantment Creature  - Crab,{3}{U},Uncommon,main
1,"Thassa, God of the Sea",Legendary Enchantment Creature  - God,{2}{U},MythicRare,main
1,Turn to Frog,Instant,{1}{U},Uncommon,main
1,Unsummon,Instant,{U},Common,main
1,Vapor Snag,Instant,{U},Common,main
1,Voyage's End,Instant,{1}{U},Common,main
1,Wonder,Creature  - Incarnation,{3}{U},Uncommon,main
1,Dispersal Technician,Creature  - Vedalken Artificer,{4}{U},Common,sideboard
1,Drag Under,Sorcery,{2}{U},Common,sideboard
1,Exultant Cultist,Creature  - Human Wizard,{2}{U},Common,sideboard
1,Reckless Scholar,Creature  - Human Wizard,{2}{U},Uncommon,sideboard
1,Rewind,Instant,{2}{U}{U},Common,sideboard
1,Whisk Away,Instant,{2}{U},Common,sideboard




