Count,Name,Type,Cost,Rarity,Section
1,Abhorrent Overlord,Creature  - Demon,{5}{B}{B},Rare,main
1,Anger of the Gods,Sorcery,{1}{R}{R},Rare,main
1,Arch of Orazca,Land,,Rare,main
1,Ashcloud Phoenix,Creature  - Phoenix,{2}{R}{R},MythicRare,main
1,Balustrade Spy,Creature  - Vampire Rogue,{3}{B},Common,main
1,Banefire,Sorcery,{X}{R},Rare,main
1,Bearer of the Heavens,Creature  - Giant,{7}{R},Rare,main
1,Bident of Thassa,Legendary Enchantment Artifact,{2}{U}{U},Rare,main
1,Bloodfell Caves,Land,,Common,main
1,"Chandra, Flamecaller",Planeswalker  - Chandra,{4}{R}{R},MythicRare,main
1,Chaoslace,Instant,{R},Rare,main
1,Cinder Barrens,Land,,Common,main
1,Clever Impersonator,Creature  - Shapeshifter,{2}{U}{U},MythicRare,main
1,Command Tower,Land,,Common,main
1,Corrupted Crossroads,Land,,Rare,main
1,Crater's Claws,Sorcery,{X}{R},Rare,main
1,Crumbling Vestige,Land,,Common,main
1,Crypt of the Eternals,Land,,Uncommon,main
1,Cyclops of Eternal Fury,Enchantment Creature  - Cyclops,{4}{R}{R},Uncommon,main
1,Dakmor Lancer,Creature  - Human Knight,{4}{B}{B},Uncommon,main
1,Dark Hatchling,Creature  - Horror,{4}{B}{B},Rare,main
1,Dark Ritual,Instant,{B},Common,main
1,Darksteel Ingot,Artifact,{3},Uncommon,main
1,Deathgaze Cockatrice,Creature  - Cockatrice,{2}{B}{B},Common,main
1,Delirium,Instant,{1}{B}{R},Uncommon,main
1,Diabolic Tutor,Sorcery,{2}{B}{B},Uncommon,main
1,Dictate of Erebos,Enchantment,{3}{B}{B},Rare,main
1,Dimir Guildgate,Land  - Gate,,Common,main
1,Disintegrate,Sorcery,{X}{R},Special,main
1,Dismal Backwater,Land,,Common,main
1,Dreamborn Muse,Creature  - Spirit,{2}{U}{U},Rare,main
1,Extractor Demon,Creature  - Demon,{4}{B}{B},Rare,main
1,Fireball,Sorcery,{X}{R},Uncommon,main
1,Fumarole,Sorcery,{3}{B}{R},Uncommon,main
1,Greed,Enchantment,{3}{B},Rare,main
1,Holdout Settlement,Land,,Common,main
1,Hypnotic Specter,Creature  - Specter,{1}{B}{B},Rare,main
1,Hythonia the Cruel,Legendary Creature  - Gorgon,{4}{B}{B},MythicRare,main
1,Indomitable Creativity,Sorcery,{X}{R}{R}{R},MythicRare,main
4,Island,Basic Land  - Island,,BasicLand,main
1,Jwar Isle Refuge,Land,,Uncommon,main
1,Kaervek's Purge,Sorcery,{X}{B}{R},Uncommon,main
