Count,Name,Type,Cost,Rarity,Section
1,Blight Mamba,Creature  - Snake,{1}{G},Common,main
1,Blighted Agent,Creature  - Human Rogue,{1}{U},Common,main
1,Blowfly Infestation,Enchantment,{2}{B},Uncommon,main
1,Bow of Nylea,Legendary Enchantment Artifact,{1}{G}{G},Rare,main
1,Command Tower,Land,,Common,main
1,Contagion Clasp,Artifact,{2},Uncommon,main
1,Core Prowler,Artifact Creature - Horror,{4},Uncommon,main
1,Corrupted Conscience,Enchantment - Aura,{3}{U}{U},Uncommon,main
1,Counterspell,Instant,{U}{U},Common,main
1,Cruel Edict,Sorcery,{1}{B},Uncommon,main
1,Cystbearer,Creature  - Beast,{2}{G},Common,main
1,Darkwater Catacombs,Land,,Rare,main
1,Decimator Beetle,Creature  - Insect,{3}{B}{G},Uncommon,main
1,Defiant Greatmaw,Creature  - Hippo,{2}{G},Uncommon,main
1,Devour Flesh,Instant,{1}{B},Common,main
1,Diabolic Tutor,Sorcery,{2}{B}{B},Uncommon,main
1,Dimir Aqueduct,Land,,Uncommon,main
1,Dimir Guildgate,Land  - Gate,,Common,main
1,Dimir Signet,Artifact,{2},Uncommon,main
1,Dismal Backwater,Land,,Common,main
1,Dusk Urchins,Creature  - Ouphe,{2}{B},Rare,main
5,Forest,Basic Land  - Forest,,BasicLand,main
1,Fuel for the Cause,Instant,{2}{U}{U},Common,main
1,Glistener Elf,Creature  - Elf Warrior,{G},Common,main
1,Golgari Guildgate,Land  - Gate,,Common,main
1,Golgari Rot Farm,Land,,Uncommon,main
1,Golgari Signet,Artifact,{2},Uncommon,main
1,Ichorclaw Myr,Artifact Creature  - Myr,{2},Common,main
1,Inexorable Tide,Enchantment,{3}{U}{U},Rare,main
1,Innocent Blood,Sorcery,{B},Common,main
6,Island,Basic Land  - Island,,BasicLand,main
1,Jade Guardian,Creature  - Merfolk Shaman,{3}{G},Common,main
1,Jungle Delver,Creature  - Merfolk Warrior,{G},Common,main
1,Jwar Isle Refuge,Land,,Uncommon,main
1,Lonely Sandbar,Land,,Common,main
1,Merfolk Branchwalker,Creature  - Merfolk Scout,{1}{G},Uncommon,main
1,Necropede,Artifact Creature  - Insect,{2},Uncommon,main
1,Nest of Scarabs,Enchantment,{2}{B},Uncommon,main
1,Noxious Hatchling,Creature  - Elemental,{3}{BG},Uncommon,main
1,Pestilence,Enchantment,{2}{B}{B},Uncommon,main
1,Phyresis,Enchantment - Aura,{1}{B},Common,main
1,Phyrexian Digester,Artifact Creature - Construct,{3},Common,main
1,Phyrexian Hydra,Creature - Hydra,{3}{G}{G},Rare,main
1,Plague Stinger,Creature  - Insect Horror,{1}{B},Common,main
1,Prophet of Kruphix,Creature  - Human Wizard,{3}{G}{U},Rare,main
1,Prophetic Prism,Artifact,{2},Common,main
1,Quillspike,Creature  - Beast,{2}{BG},Uncommon,main
1,Reaper of the Wilds,Creature  - Gorgon,{2}{B}{G},Rare,main
1,Regrowth,Sorcery,{1}{G},Uncommon,main
1,Rendclaw Trow,Creature  - Troll,{2}{BG},Common,main
1,Rot Wolf,Creature - Wolf,{2}{G},Common,main
1,Rupture Spire,Land,,Common,main
1,Salt Marsh,Land,,Uncommon,main
1,Scarscale Ritual,Sorcery,{1}{UB},Common,main
1,Scourge Servant,Creature - Zombie,{4}{B},Common,main
1,Seekers' Squire,Creature  - Human Scout,{1}{B},Uncommon,main
1,Shimmering Grotto,Land,,Common,main
1,Sickle Ripper,Creature  - Elemental Warrior,{1}{B},Common,main
1,Simic Growth Chamber,Land,,Uncommon,main
1,Simic Signet,Artifact,{2},Uncommon,main
1,Siren Lookout,Creature  - Siren Pirate,{2}{U},Common,main
1,Skinrender,Creature  - Zombie,{2}{B}{B},Uncommon,main
1,Smoldering Butcher,Creature  - Elemental Warrior,{3}{B},Common,main
1,Sol Ring,Artifact,{1},Uncommon,main
1,Soulstinger,Creature  - Scorpion Demon,{3}{B},Common,main
1,Spread the Sickness,Sorcery,{4}{B},Uncommon,main
1,Steady Progress,Instant,{2}{U},Common,main
1,Stone Calendar,Artifact,{5},Rare,main
7,Swamp,Basic Land  - Swamp,,BasicLand,main
1,Syphon Flesh,Sorcery,{4}{B},Uncommon,main
1,"Szadek, Lord of Secrets",Legendary Creature  - Vampire,{3}{U}{U}{B}{B},Rare,main
1,Temple of Deceit,Land,,Rare,main
1,Temple of Mystery,Land,,Rare,main
1,Thought Prison,Artifact,{5},Uncommon,main
1,Tranquil Thicket,Land,,Common,main
1,Trapjaw Kelpie,Creature  - Beast,{4}{GU}{GU},Common,main
1,Trigon of Infestation,Artifact,{4},Uncommon,main
1,Unknown Shores,Land,,Common,main
1,Vector Asp,Artifact Creature  - Snake,{1},Common,main
1,Viral Drake,Creature  - Drake,{3}{U},Uncommon,main
1,Viridian Betrayers,Creature  - Elf Warrior,{1}{G}{G},Common,main
1,"Vorosh, the Hunter",Legendary Creature  - Dragon,{3}{G}{U}{B},Rare,main
1,Vulturous Zombie,Creature  - Plant Zombie,{3}{B}{G},Rare,main
1,Wickerbough Elder,Creature  - Treefolk Shaman,{3}{G},Common,main
1,Worldly Tutor,Instant,{G},Uncommon,main
1,Armorcraft Judge,Creature  - Elf Artificer,{3}{G},Uncommon,sideboard
1,Lifecrafter's Gift,Instant,{3}{G},Uncommon,sideboard
1,Ornery Kudu,Creature  - Antelope,{2}{G},Common,sideboard
1,Quarry Hauler,Creature  - Camel,{3}{G},Common,sideboard
1,Scrounging Bandar,Creature  - Cat Monkey,{1}{G},Common,sideboard
1,Untethered Express,Artifact  - Vehicle,{4},Uncommon,sideboard
1,Armorcraft Judge,Creature  - Elf Artificer,{3}{G},Uncommon,scratchpad




