Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Type,Cost,Rarity
1,0,Abbey Griffin,Innistrad,1,Near Mint,English,,,,,,,,,Creature  - Griffin,{3}{W},Common
1,0,Abbot of Keral Keep,Magic Origins,127,Near Mint,English,,,,,,,,,Creature  - Human Monk,{1}{R},Rare
1,0,Aberrant Researcher,Shadows over Innistrad,49,Near Mint,English,,,,,,,,,Creature  - Human Insect,{3}{U},Uncommon
2,0,Abhorrent Overlord,Theros,75,Near Mint,English,,,,,,,,,Creature  - Demon,{5}{B}{B},Rare
2,0,Abomination of Gudul,Khans of Tarkir,159,Near Mint,English,,,,,,,,,Creature  - Horror,{3}{B}{G}{U},Common
1,0,Abuna Acolyte,Scars of Mirrodin,1,Near Mint,English,,,,,,,,,Creature  - Cat Cleric,{1}{W},Uncommon
1,0,Abyssal Gatekeeper,Weatherlight,1,Near Mint,English,,,,,,,,,Creature  - Horror,{1}{B},Common
2,0,Abyssal Hunter,Mirage,1,Near Mint,English,,,,,,,,0,Creature  - Human Assassin,{3}{B},Rare
1,0,Abyssal Specter,Modern Masters 2017 Edition,59,Near Mint,English,,,,,,,,,Creature  - Specter,{2}{B}{B},Uncommon
1,0,Abzan Banner,Khans of Tarkir,215,Near Mint,English,,,,,,,,,Artifact,{3},Common
2,0,Abzan Guide,Khans of Tarkir,162,Near Mint,English,,,,,,,,,Creature  - Human Warrior,{3}{W}{B}{G},Common
2,0,Accomplished Automaton,Kaladesh,191,Near Mint,English,,,,,,,,,Artifact Creature  - Construct,{7},Common
1,0,Accorder Paladin,Mirrodin Besieged,1,Near Mint,English,,,,,,,,,Creature - Human Knight,{1}{W},Uncommon
1,0,Accorder's Shield,Scars of Mirrodin,136,Near Mint,English,,,,,,,,0,Artifact  - Equipment,{0},Common
1,0,Accorder's Shield,Magic 2014 Core Set,204,Near Mint,English,,,,,,,,,Artifact  - Equipment,{0},Uncommon
4,0,Accursed Spirit,Magic 2015 Core Set,85,Near Mint,English,,,,,,,,,Creature  - Spirit,{3}{B},Common
1,0,Acidic Dagger,Mirage,256,Near Mint,English,,,,,,,,,Artifact,{4},Rare
1,0,Acidic Slime,Commander,140,Near Mint,English,,,,,,,,0,Creature  - Ooze,{3}{G}{G},Uncommon
2,0,Acidic Slime,Magic 2012,161,Near Mint,English,,,,,,,,0,Creature  - Ooze,{3}{G}{G},Uncommon
1,0,Acrobatic Maneuver,Kaladesh,1,Near Mint,English,,,,,,,,,Instant,{2}{W},Common
1,0,Act of Heroism,Hour of Devastation,1,Near Mint,English,,,,,,,,,Instant,{1}{W},Common
1,0,Act of Treason,Duel Decks: Speed vs. Cunning,26,,,,,,,,,,,Sorcery,{2}{R},Common
2,0,Act of Treason,Magic 2011,121,Near Mint,English,,,,,,,,0,Sorcery,{2}{R},Common
4,0,Act of Treason,Gatecrash,85,Near Mint,English,,,,,,,,0,Sorcery,{2}{R},Common
1,0,Act of Treason,Magic Origins,129,Near Mint,English,,,,,,,,,Sorcery,{2}{R},Common
1,0,Act on Impulse,Magic 2015 Core Set,126,Near Mint,English,,,,,,,,,Sorcery,{2}{R},Uncommon
1,0,Active Volcano,Chronicles,43,Near Mint,English,,,,,,,,0,Instant,{R},Common
3,0,Adaptive Snapjaw,Gatecrash,113,Near Mint,English,,,,,,,,,Creature  - Lizard Beast,{4}{G},Common
1,0,Adarkar Sentinel,Ice Age,281,Near Mint,English,,,,,,,,,Artifact Creature  - Soldier,{5},Uncommon
1,0,Adarkar Unicorn,Ice Age,225,Near Mint,English,,,,,,,,,Creature  - Unicorn,{1}{W}{W},Common
1,0,Aegis Angel,Magic 2015 Core Set,270,Near Mint,English,,,,,,,,0,Creature  - Angel,{4}{W}{W},Rare
1,1,Aegis Automaton,Aether Revolt,141,Near Mint,English,foil,,,,,,,0,Artifact Creature  - Construct,{2},Common
3,0,Aegis Automaton,Aether Revolt,141,Near Mint,English,,,,,,,,,Artifact Creature  - Construct,{2},Common
2,0,Aerial Maneuver,Gatecrash,1,Near Mint,English,,,,,,,,,Instant,{1}{W},Common
1,0,Aerial Modification,Aether Revolt,1,Near Mint,English,,,,,,,,,Enchantment  - Aura,{4}{W},Uncommon
3,0,Aerial Predation,Return to Ravnica,113,Near Mint,English,,,,,,,,,Instant,{2}{G},Common
3,0,Aerial Volley,Magic Origins,168,Near Mint,English,,,,,,,,,Instant,{G},Common
1,0,Aerie Ouphes,Eventide,65,Near Mint,English,,,,,,,,,Creature  - Ouphe,{4}{G},Common
5,0,Aeronaut Tinkerer,Magic 2015 Core Set,43,Near Mint,English,,,,,,,,,Creature  - Human Artificer,{2}{U},Common
3,0,Aether Adept,Magic 2011,41,Near Mint,English,,,,,,,,0,Creature  - Human Wizard,{1}{U}{U},Common
