Count,Name,Type,Cost,Rarity,Section
1,Abzan Falconer,Creature  - Human Soldier,{2}{W},Uncommon,main
1,Ancient Excavation,Instant,{2}{U}{B},Uncommon,main
1,Arcane Sanctum,Land,,Uncommon,main
1,Ash Barrens,Land,,Common,main
1,Astral Cornucopia,Artifact,{X}{X}{X},Rare,main
1,"Atraxa, Praetors' Voice",Legendary Creature  - Angel Horror,{G}{W}{U}{B},MythicRare,main
1,Azorius Chancery,Land,,Uncommon,main
1,Bane of the Living,Creature  - Insect,{2}{B}{B},Rare,main
1,Brave the Sands,Enchantment,{1}{W},Uncommon,main
1,Bred for the Hunt,Enchantment,{1}{G}{U},Uncommon,main
1,Cathars' Crusade,Enchantment,{3}{W}{W},Rare,main
1,Cauldron of Souls,Artifact,{5},Rare,main
1,Champion of Lambholt,Creature  - Human Warrior,{1}{G}{G},Rare,main
1,Citadel Siege,Enchantment,{2}{W}{W},Rare,main
1,Command Tower,Land,,Common,main
1,Commander's Sphere,Artifact,{3},Common,main
1,Corpsejack Menace,Creature  - Fungus,{2}{B}{G},Rare,main
1,Crystalline Crawler,Artifact Creature  - Construct,{4},Rare,main
1,Custodi Soulbinders,Creature  - Human Cleric,{3}{W},Rare,main
1,Darksteel Ingot,Artifact,{3},Uncommon,main
1,Darkwater Catacombs,Land,,Rare,main
1,Deepglow Skate,Creature  - Fish,{4}{U},Rare,main
1,Disdainful Stroke,Instant,{1}{U},Common,main
1,Dreadship Reef,Land,,Uncommon,main
1,Duelist's Heritage,Enchantment,{2}{W},Rare,main
1,Duneblast,Sorcery,{4}{W}{B}{G},Rare,main
1,Elite Scaleguard,Creature  - Human Soldier,{4}{W},Uncommon,main
1,Enduring Scalelord,Creature  - Dragon,{4}{G}{W},Uncommon,main
1,Evolving Wilds,Land,,Common,main
1,Exotic Orchard,Land,,Rare,main
1,Fathom Mage,Creature  - Human Wizard,{2}{G}{U},Rare,main
1,Fellwar Stone,Artifact,{2},Uncommon,main
1,Festercreep,Creature  - Elemental,{1}{B},Common,main
7,Forest,Basic Land  - Forest,,Common,main
1,Forgotten Ancient,Creature  - Elemental,{3}{G},Rare,main
1,"Ghave, Guru of Spores",Legendary Creature  - Fungus Shaman,{2}{B}{G}{W},MythicRare,main
1,Golgari Rot Farm,Land,,Common,main
1,Golgari Signet,Artifact,{2},Common,main
1,Grip of Phyresis,Instant,{2}{U},Uncommon,main
1,Hardened Scales,Enchantment,{G},Rare,main
1,"Ikra Shidiqi, the Usurper",Legendary Creature  - Naga Wizard,{3}{B}{G},MythicRare,main
1,Inspiring Call,Instant,{2}{G},Uncommon,main
1,"Ishai, Ojutai Dragonspeaker",Legendary Creature  - Bird Monk,{2}{W}{U},MythicRare,main
4,Island,Basic Land  - Island,,Common,main
1,Juniper Order Ranger,Creature  - Human Knight,{3}{G}{W},Uncommon,main
1,Kalonian Hydra,Creature  - Hydra,{3}{G}{G},MythicRare,main
1,Languish,Sorcery,{2}{B}{B},Rare,main
1,Manifold Insights,Sorcery,{2}{U},Rare,main
1,Master Biomancer,Creature  - Elf Wizard,{2}{G}{U},MythicRare,main
1,Merciless Eviction,Sorcery,{4}{W}{B},Rare,main
1,Migratory Route,Sorcery,{3}{W}{U},Uncommon,main
1,Mirrorweave,Instant,{2}{WU}{WU},Rare,main
1,Mortify,Instant,{1}{W}{B},Uncommon,main
1,Murmuring Bosk,Land  - Forest,,Rare,main
1,Necroplasm,Creature  - Ooze,{1}{B}{B},Rare,main
1,Opal Palace,Land,,Common,main
1,Opulent Palace,Land,,Uncommon,main
1,Orzhov Advokist,Creature  - Human Advisor,{2}{W},Uncommon,main
1,Orzhov Signet,Artifact,{2},Common,main
5,Plains,Basic Land  - Plains,,Common,main
1,Putrefy,Instant,{1}{B}{G},Uncommon,main
1,Reveillark,Creature  - Elemental,{4}{W},Rare,main
1,"Reyhan, Last of the Abzan",Legendary Creature  - Human Warrior,{1}{B}{G},Rare,main
1,Sandsteppe Citadel,Land,,Uncommon,main
1,Scavenging Ooze,Creature  - Ooze,{1}{G},Rare,main
1,Seaside Citadel,Land,,Uncommon,main
1,Simic Signet,Artifact,{2},Common,main
1,Sol Ring,Artifact,{1},Uncommon,main
1,Solidarity of Heroes,Instant,{1}{G},Uncommon,main
1,Spitting Image,Sorcery,{4}{GU}{GU},Rare,main
1,Sublime Exhalation,Sorcery,{6}{W},Rare,main
1,Sungrass Prairie,Land,,Rare,main
5,Swamp,Basic Land  - Swamp,,Common,main
1,Sylvan Reclamation,Instant,{3}{G}{W},Uncommon,main
1,Temple of the False God,Land,,Uncommon,main
1,Terramorphic Expanse,Land,,Common,main
