Count,Name,Type,Cost,Rarity,Section
1,Abyssal Specter,Creature  - Specter,{2}{B}{B},Uncommon,main
1,Altar of the Brood,Artifact,{1},Rare,main
1,Blizzard Specter,Snow Creature  - Specter,{2}{U}{B},Uncommon,main
2,Bloodfell Caves,Land,,Common,main
1,Codex Shredder,Artifact,{1},Uncommon,main
2,Counterspell,Instant,{U}{U},Common,main
1,Crypt of the Eternals,Land,,Uncommon,main
1,Dark Intimations,Sorcery,{2}{U}{B}{R},Rare,main
1,Dinrova Horror,Creature  - Horror,{4}{U}{B},Uncommon,main
3,Disciple of Phenax,Creature  - Human Cleric,{2}{B}{B},Common,main
4,Dismal Backwater,Land,,Common,main
1,Gilded Lotus,Artifact,{5},Rare,main
4,Grisly Spectacle,Instant,{2}{B}{B},Common,main
4,Hypnotic Specter,Creature  - Specter,{1}{B}{B},Rare,main
4,Island,Basic Land  - Island,,Common,main
1,Liliana Vess,Planeswalker  - Liliana,{3}{B}{B},MythicRare,main
1,Liliana's Caress,Enchantment,{1}{B},Uncommon,main
3,Liliana's Specter,Creature  - Specter,{1}{B}{B},Common,main
1,Manalith,Artifact,{3},Common,main
3,Mountain,Basic Land  - Mountain,,Common,main
1,Nicol Bolas,Legendary Creature  - Elder Dragon,{2}{U}{U}{B}{B}{R}{R},Rare,main
1,"Nicol Bolas, God-Pharaoh",Planeswalker  - Bolas,{4}{U}{B}{R},MythicRare,main
1,Remorseless Punishment,Sorcery,{3}{B}{B},Rare,main
1,Scythe Specter,Creature  - Specter,{4}{B}{B},Rare,main
1,Serum Raker,Creature - Drake,{2}{U}{U},Common,main
1,Sol Ring,Artifact,{1},Uncommon,main
8,Swamp,Basic Land  - Swamp,,Common,main
2,Swiftwater Cliffs,Land,,Common,main
1,The Eldest Reborn,Enchantment  - Saga,{4}{B},Uncommon,main
1,Tolarian Sentinel,Creature  - Human Spellshaper,{3}{U},Common,main
1,"Urgoros, the Empty One",Legendary Creature  - Specter,{4}{B}{B},Uncommon,main
1,Waste Not,Enchantment,{1}{B},Rare,main
1,Breathstealer's Crypt,Enchantment,{2}{U}{B},Rare,sideboard
1,Caged Sun,Artifact,{6},Rare,sideboard
1,Call to the Netherworld,Sorcery,{B},Common,sideboard
1,Dictate of Erebos,Enchantment,{3}{B}{B},Rare,sideboard
1,Dream Salvage,Instant,{UB},Uncommon,sideboard
1,Megrim,Enchantment,{2}{B},Uncommon,sideboard
1,Miasmic Mummy,Creature  - Zombie Jackal,{1}{B},Common,sideboard
1,Rakdos Ringleader,Creature  - Skeleton Warrior,{4}{B}{R},Uncommon,sideboard
1,Sibsig Icebreakers,Creature  - Zombie,{2}{B},Common,sideboard
1,The Rack,Artifact,{1},Special,sideboard
1,Torment of Scarabs,Enchantment  - Aura Curse,{3}{B},Uncommon,sideboard
2,Wasteland Scorpion,Creature  - Scorpion,{2}{B},Common,sideboard
1,Whispering Madness,Sorcery,{2}{U}{B},Rare,sideboard




