Count,Name,Type,Cost,Rarity,Section
4,Cultivator Drone,Creature  - Eldrazi Drone,{2}{U},Common,main
2,Dark Ritual,Instant,{B},Common,main
3,Dimir Guildgate,Land  - Gate,,Common,main
3,Dismal Backwater,Land,,Common,main
1,Eldrazi Devastator,Creature  - Eldrazi,{8},Common,main
1,Eldrazi Mimic,Creature  - Eldrazi,{2},Rare,main
1,Eldrazi Skyspawner,Creature  - Eldrazi Drone,{2}{U},Common,main
2,Incubator Drone,Creature  - Eldrazi Drone,{3}{U},Common,main
2,Island,Basic Land  - Island,,BasicLand,main
2,Kozilek's Channeler,Creature  - Eldrazi,{5},Common,main
2,Kozilek's Translator,Creature  - Eldrazi Drone,{4}{B},Common,main
1,"Kozilek, the Great Distortion",Legendary Creature  - Eldrazi,{8}{C}{C},MythicRare,main
4,Murk Strider,Creature  - Eldrazi Processor,{3}{U},Common,main
2,Pyxis of Pandemonium,Artifact,{1},Rare,main
1,Ruin Processor,Creature  - Eldrazi Processor,{7},Common,main
2,Scour from Existence,Instant,{7},Common,main
1,Sifter of Skulls,Creature  - Eldrazi,{3}{B},Rare,main
3,Slip Through Space,Sorcery,{U},Common,main
1,Sol Ring,Artifact,{1},Uncommon,main
2,Swamp,Basic Land  - Swamp,,BasicLand,main
1,Swarm Surge,Sorcery,{2}{B},Common,main
2,Thought Harvester,Creature  - Eldrazi Drone,{3}{U},Uncommon,main
2,Tomb of the Spirit Dragon,Land,,Uncommon,main
3,Urza's Mine,Land  - Urza’s Mine,,Uncommon,main
3,Urza's Power Plant,Land  - Urza’s Power-Plant,,Uncommon,main
3,Urza's Tower,Land  - Urza’s Tower,,Uncommon,main
2,Visions of Brutality,Enchantment  - Aura,{1}{B},Uncommon,main
2,Warden of Geometries,Creature  - Eldrazi Drone,{4},Common,main




