Count,Name,Type,Cost,Rarity,Section
2,Aqueous Form,Enchantment  - Aura,{U},Common,main
1,Artisan of Forms,Creature  - Human Wizard,{1}{U},Rare,main
2,Avenging Arrow,Instant,{2}{W},Common,main
2,Azorius Guildgate,Land  - Gate,,Common,main
2,Battlewise Hoplite,Creature  - Human Soldier,{W}{U},Uncommon,main
1,Cartouche of Knowledge,Enchantment  - Aura Cartouche,{1}{U},Common,main
1,Cartouche of Solidarity,Enchantment  - Aura Cartouche,{W},Common,main
1,Chosen by Heliod,Enchantment  - Aura,{1}{W},Common,main
1,Dawnbringer Charioteers,Creature  - Human Soldier,{2}{W}{W},Rare,main
2,Ethereal Armor,Enchantment  - Aura,{W},Common,main
1,Fabled Hero,Creature  - Human Soldier,{1}{W}{W},Rare,main
2,Favored Hoplite,Creature  - Human Soldier,{W},Uncommon,main
2,Hopeful Eidolon,Enchantment Creature  - Spirit,{W},Common,main
1,Hyena Umbra,Enchantment  - Aura,{W},Common,main
6,Island,Basic Land  - Island,,BasicLand,main
1,Lagonna-Band Trailblazer,Creature  - Centaur Scout,{W},Common,main
1,Lifelink,Enchantment  - Aura,{W},Common,main
1,Nimbus Naiad,Enchantment Creature  - Nymph,{2}{U},Common,main
1,Observant Alseid,Enchantment Creature  - Nymph,{2}{W},Common,main
2,Phalanx Leader,Creature  - Human Soldier,{W}{W},Uncommon,main
11,Plains,Basic Land  - Plains,,BasicLand,main
2,Setessan Battle Priest,Creature  - Human Cleric,{1}{W},Common,main
1,Sightless Brawler,Enchantment Creature  - Human Warrior,{1}{W},Uncommon,main
1,Skybind,Enchantment,{3}{W}{W},Rare,main
2,Smite,Instant,{W},Common,main
1,Spear of Heliod,Legendary Enchantment Artifact,{1}{W}{W},Rare,main
1,Sphere of Safety,Enchantment,{4}{W},Uncommon,main
1,Starfield of Nyx,Enchantment,{4}{W},MythicRare,main
1,Thassa's Emissary,Enchantment Creature  - Crab,{3}{U},Uncommon,main
4,Tranquil Cove,Land,,Common,main
2,War-Wing Siren,Creature  - Siren Soldier,{2}{U},Common,main
1,Riptide Chimera,Enchantment Creature  - Chimera,{2}{U},Uncommon,sideboard
4,War-Wing Siren,Creature  - Siren Soldier,{2}{U},Common,sideboard




