Count,Name,Type,Cost,Rarity,Section
1,Abzan Banner,Artifact,{3},Common,main
3,Abzan Battle Priest,Creature  - Human Cleric,{3}{W},Uncommon,main
2,Abzan Charm,Instant,{W}{B}{G},Uncommon,main
4,Abzan Falconer,Creature  - Human Soldier,{2}{W},Uncommon,main
4,Ainok Bond-Kin,Creature  - Hound Soldier,{1}{W},Common,main
1,"Ajani, Mentor of Heroes",Planeswalker  - Ajani,{3}{G}{W},MythicRare,main
1,Arrest,Enchantment  - Aura,{2}{W},Common,main
4,Blossoming Sands,Land,,Common,main
2,Burst of Strength,Instant,{G},Common,main
2,Celestial Flare,Instant,{W}{W},Common,main
1,Corpsejack Menace,Creature  - Fungus,{2}{B}{G},Rare,main
2,Disenchant,Instant,{1}{W},Common,main
3,Evolving Wilds,Land,,Common,main
1,Feast on the Fallen,Enchantment,{2}{B},Uncommon,main
3,Forest,Basic Land  - Forest,,BasicLand,main
1,Ivorytusk Fortress,Creature  - Elephant,{2}{W}{B}{G},Rare,main
1,Jungle Hollow,Land,,Common,main
3,Longshot Squad,Creature  - Hound Archer,{3}{G},Common,main
3,Mer-Ek Nightblade,Creature  - Orc Assassin,{3}{B},Uncommon,main
1,Merciless Eviction,Sorcery,{4}{W}{B},Rare,main
2,Pacifism,Enchantment  - Aura,{1}{W},Common,main
4,Plains,Basic Land  - Plains,,BasicLand,main
1,Sandsteppe Citadel,Land,,Uncommon,main
3,Scoured Barrens,Land,,Common,main
2,Stab Wound,Enchantment  - Aura,{2}{B},Uncommon,main
2,Swamp,Basic Land  - Swamp,,BasicLand,main
1,Triumph of Gerrard,Enchantment  - Saga,{1}{W},Uncommon,main
1,Tuskguard Captain,Creature  - Human Warrior,{2}{G},Uncommon,main
1,Windswept Heath,Land,,Rare,main




