Count,Name,Type,Cost,Rarity,Section
1,Aid from the Cowl,Enchantment,{3}{G}{G},Rare,main
2,Arachnus Spinner,Creature  - Spider,{5}{G},Uncommon,main
4,Arachnus Web,Enchantment  - Aura,{2}{G},Common,main
1,Archweaver,Creature  - Spider,{5}{G}{G},Uncommon,main
1,Assault Formation,Enchantment,{1}{G},Uncommon,main
2,Canopy Spider,Creature  - Spider,{1}{G},Common,main
1,Damping Sphere,Artifact,{2},Uncommon,main
1,Deadly Recluse,Creature  - Spider,{1}{G},Common,main
1,Desert Twister,Sorcery,{4}{G}{G},Uncommon,main
21,Forest,Basic Land  - Forest,,Common,main
1,Fountain of Youth,Artifact,{0},Uncommon,main
3,Hitchclaw Recluse,Creature  - Spider,{2}{G},Common,main
1,Mind Stone,Artifact,{2},Common,main
1,Nature's Spiral,Sorcery,{1}{G},Uncommon,main
3,Netcaster Spider,Creature  - Spider,{2}{G},Common,main
1,Regrowth,Sorcery,{1}{G},Uncommon,main
1,Revive,Sorcery,{1}{G},Common,main
2,Reviving Melody,Sorcery,{2}{G},Uncommon,main
1,Rofellos's Gift,Sorcery,{G},Common,main
1,Root Spider,Creature  - Spider,{3}{G},Uncommon,main
1,Seer's Sundial,Artifact,{4},Rare,main
1,Sentinel Spider,Creature  - Spider,{3}{G}{G},Common,main
1,Skysnare Spider,Creature  - Spider,{4}{G}{G},Uncommon,main
1,Sol Ring,Artifact,{1},Uncommon,main
2,Stingerfling Spider,Creature  - Spider,{4}{G},Uncommon,main
3,Woolly Spider,Creature  - Spider,{1}{G}{G},Common,main
1,Zuran Orb,Artifact,{0},Uncommon,main




