Count,Name,Type,Cost,Rarity,Section
4,Aether Tradewinds,Instant,{2}{U},Common,main
2,Angelic Wall,Creature  - Wall,{1}{W},Common,main
2,Bay Falcon,Creature  - Bird,{1}{U},Common,main
1,"Bruna, the Fading Light",Legendary Creature  - Angel Horror,{5}{W}{W},Rare,main
1,Call the Gatewatch,Sorcery,{2}{W},Rare,main
3,Counterspell,Instant,{U}{U},Common,main
1,Dawnglare Invoker,Creature  - Kor Wizard,{2}{W},Common,main
1,Diving Griffin,Creature  - Griffin,{1}{W}{W},Common,main
2,"Djeru, With Eyes Open",Legendary Creature  - Human Warrior,{3}{W}{W},Rare,main
1,Enlightened Tutor,Instant,{W},Rare,main
1,"Gisela, the Broken Blade",Legendary Creature  - Angel Horror,{2}{W}{W},MythicRare,main
1,Griffin Sentinel,Creature  - Griffin,{2}{W},Common,main
1,Hundred-Handed One,Creature  - Giant,{2}{W}{W},Rare,main
10,Island,Basic Land  - Island,,Common,main
1,Kismet,Enchantment,{3}{W},Uncommon,main
1,Land Tax,Enchantment,{W},MythicRare,main
1,Nimbus Maze,Land,,Rare,main
10,Plains,Basic Land  - Plains,,Common,main
1,Recall,Sorcery,{X}{X}{U},Rare,main
2,Serra Angel,Creature  - Angel,{3}{W}{W},Uncommon,main
1,Soul of Theros,Creature  - Avatar,{4}{W}{W},MythicRare,main
2,Stasis,Enchantment,{1}{U},Rare,main
1,"Teferi, Hero of Dominaria",Legendary Planeswalker  - Teferi,{3}{W}{U},MythicRare,main
3,Topan Freeblade,Creature  - Human Soldier,{1}{W},Uncommon,main
4,Tranquil Cove,Land,,Common,main
2,Zephyr Falcon,Creature  - Bird,{1}{U},Common,main
1,Kismet,Enchantment,{3}{W},Uncommon,sideboard
3,Power Sink,Instant,{X}{U},Uncommon,sideboard
1,Recall,Sorcery,{X}{X}{U},Rare,sideboard
1,Warped Landscape,Land,,Common,sideboard




