Count,Name,Type,Cost,Rarity,Section
1,Blisterstick Shaman,Creature - Goblin Shaman,{2}{R},Common,main
2,Destructive Tampering,Sorcery,{2}{R},Common,main
4,Evolving Wilds,Land,,Common,main
4,Forgotten Cave,Land,,Common,main
2,Frenzied Goblin,Creature  - Goblin Berserker,{R},Uncommon,main
1,Goblin Arsonist,Creature  - Goblin Shaman,{R},Common,main
2,Goblin Balloon Brigade,Creature  - Goblin Warrior,{R},Common,main
4,Goblin Grenade,Sorcery,{R},Uncommon,main
1,Goblin Kaboomist,Creature  - Goblin Warrior,{1}{R},Rare,main
4,Goblin King,Creature  - Goblin,{1}{R}{R},Rare,main
1,Goblin Rabblemaster,Creature  - Goblin Warrior,{2}{R},Rare,main
2,Goblin Recruiter,Creature  - Goblin,{1}{R},Uncommon,main
3,Goblin Soothsayer,Creature  - Goblin Shaman,{R},Uncommon,main
1,Goblin Warchief,Creature  - Goblin,{1}{R}{R},Uncommon,main
4,Guttersnipe,Creature  - Goblin Shaman,{2}{R},Uncommon,main
1,"Krenko, Mob Boss",Legendary Creature  - Goblin Warrior,{2}{R}{R},Rare,main
3,Lightning Bolt,Instant,{R},Uncommon,main
2,Magmatic Chasm,Sorcery,{1}{R},Common,main
1,Mogg Raider,Creature  - Goblin,{R},Common,main
1,Mogg Sentry,Creature  - Goblin Warrior,{R},Rare,main
10,Mountain,Basic Land  - Mountain,,BasicLand,main
2,Quicksand,Land,,Common,main
2,Rummaging Goblin,Creature  - Goblin Rogue,{2}{R},Common,main
2,Terramorphic Expanse,Land,,Common,main




