Count,Name,Type,Cost,Rarity,Section
2,Bladewing the Risen,Legendary Creature  - Zombie Dragon,{3}{B}{B}{R}{R},Uncommon,main
4,Bloodfell Caves,Land,,Common,main
2,Brood Keeper,Creature  - Human Shaman,{3}{R},Uncommon,main
1,Buried Ruin,Land,,Uncommon,main
1,Catacomb Dragon,Creature  - Dragon,{4}{B}{B},Rare,main
1,Dictate of Erebos,Enchantment,{3}{B}{B},Rare,main
1,Dictate of the Twin Gods,Enchantment,{3}{R}{R},Rare,main
2,Draconic Roar,Instant,{1}{R},Common,main
2,Dragon Egg,Creature  - Dragon,{2}{R},Common,main
1,Dragon Hatchling,Creature  - Dragon,{1}{R},Common,main
1,Dragon Tempest,Enchantment,{1}{R},Uncommon,main
4,Dragonlord's Servant,Creature  - Goblin Shaman,{1}{R},Common,main
1,Flameblast Dragon,Creature  - Dragon,{4}{R}{R},Rare,main
2,Furnace Whelp,Creature  - Dragon,{2}{R}{R},Common,main
2,Hoarding Dragon,Creature  - Dragon,{3}{R}{R},Uncommon,main
1,Kolaghan Monument,Artifact,{3},Uncommon,main
2,Lightning Bolt,Instant,{R},Uncommon,main
9,Mountain,Basic Land  - Mountain,,BasicLand,main
1,Noxious Dragon,Creature  - Dragon,{4}{B}{B},Uncommon,main
1,Rakdos Keyrune,Artifact,{3},Uncommon,main
2,Shivan Dragon,Creature  - Dragon,{4}{R}{R},Rare,main
1,Skyblinder Staff,Artifact  - Equipment,{1},Common,main
1,Sol Ring,Artifact,{1},Uncommon,main
1,Spawn of Thraxes,Creature  - Dragon,{5}{R}{R},Rare,main
1,Star Compass,Artifact,{2},Common,main
1,Sunbird's Invocation,Enchantment,{5}{R},Rare,main
5,Swamp,Basic Land  - Swamp,,BasicLand,main
4,Terramorphic Expanse,Land,,Common,main
1,Thran Dynamo,Artifact,{4},Uncommon,main
1,Twinflame,Sorcery,{1}{R},Rare,main
1,Utvara Hellkite,Creature  - Dragon,{6}{R}{R},MythicRare,main




